description,family_pk,id,iso_code,jsondata,latitude,longitude,macroarea,markup_description,name,pk,representation,vol
,7,lsi32Tibeto-Burman-Lotha Naga,njh,{},26.3241,94.3824,Eurasia,,Lotha Naga,134,72,1
,6,lsi52Indo-Aryan-Magahi-Gaya,mag,{},24.795,84.999,Eurasia,,Magahi-Gaya,35,144,1
,8,lsi41Dravidian-Malayalam,mal,{},9.59208,76.7651,Eurasia,,Malayalam,132,72,1
,6,lsi92Indo-Aryan-Malvi,mup,{},23.488,75.562,Eurasia,,Malvi,88,72,1
,6,lsi94Indo-Aryan-Mandeali,mjl,{},31.5425,76.55,Eurasia,,Mandeali,159,72,1
,7,lsi32Tibeto-Burman-Mao Naga,nbi,{},25.3836,94.0035,Eurasia,,Mao Naga,14,72,1
,6,lsi71Indo-Aryan-Marathi,mar,{},17.93,76.67,Eurasia,,Marathi,3,72,1
,6,lsi71Indo-Aryan-Marathi-Pune,dcc,{},18.517647,73.856546,Eurasia,,Marathi-Pune,101,72,1
,7,lsi32Tibeto-Burman-Maring Naga,nng,{},24.17,94.04,Eurasia,,Maring Naga,165,72,1
,6,lsi92Indo-Aryan-Marwari-02 (India),rwr,{},27.0,75.07,Eurasia,,Marwari-02 (India),22,72,1
,6,lsi93Indo-Aryan-Mawchi,mke,{},22.18,73.12,Eurasia,,Mawchi,52,72,1
,6,lsi51Indo-Aryan-Mayang,asm,{},26.2589,92.0408,Eurasia,,Mayang,238,144,1
,7,lsi32Tibeto-Burman-Mech,brx,{},26.112994,90.575206,Eurasia,,Mech,230,216,1
,7,lsi33Tibeto-Burman-Meitei,mni,{},24.8074,93.9384,Eurasia,,Meitei,163,72,1
,6,lsi92Indo-Aryan-Mewati,wtm,{},27.74,76.95,Eurasia,,Mewati,7,144,1
,7,lsi31Tibeto-Burman-Miyu-Mishmi,mxj,{},27.92,96.17,Eurasia,,Miyu-Mishmi,58,72,1
,7,lsi33Tibeto-Burman-Mizo,lus,{},22.6138,92.6247,Eurasia,,Mizo,141,216,1
,7,lsi33Tibeto-Burman-Mru,mro,{},24.154,90.6317,Eurasia,,Mru,146,72,1
,5,lsi41Munda-Mundari,unr,{},23.21,85.2,Eurasia,,Mundari,56,72,1
,7,lsi31Tibeto-Burman-Newar,new,{},27.2614,84.9577,Eurasia,,Newar,66,72,1
,7,lsi33Tibeto-Burman-Ngente,lus,{},22.6138,92.6247,Eurasia,,Ngente,151,216,1
,2,lsi41Language isolate-Nihali,nll,{},19.75,77.8333333333,,,Nihali,27,72,1
,6,lsi92Indo-Aryan-Nimadi,noe,{},22.13,76.13,Eurasia,,Nimadi,73,72,1
,7,lsi32Tibeto-Burman-Nocte Naga01,njb,{},20.5324,97.4411,Eurasia,,Nocte Naga01,92,72,1
,8,lsi41Dravidian-Northern Gondi,gno,{},18.16,81.38,Eurasia,,Northern Gondi,8,72,1
,6,lsi81Indo-Aryan-Northern Hindko-Awankari,hno,{},33.570946,71.432764,Eurasia,,Northern Hindko-Awankari,182,360,1
,6,lsi81Indo-Aryan-Northern Hindko-Dera Ghazi Khan,hno,{},34.32,73.38,Eurasia,,Northern Hindko-Dera Ghazi Khan,157,360,1
,6,lsi81Indo-Aryan-Northern Hindko-Dhanni,hno,{},32.831149,74.281585,Eurasia,,Northern Hindko-Dhanni,98,360,1
,6,lsi81Indo-Aryan-Northern Hindko-Kohat,hno,{},33.570946,71.432764,Eurasia,,Northern Hindko-Kohat,85,360,1
,7,lsi31Tibeto-Burman-Nyishi,njz,{},26.83,93.33,Eurasia,,Nyishi,55,72,1
,6,lsi52Indo-Aryan-Odia-Cuttack,ory,{},20.485358,85.88571,Eurasia,,Odia-Cuttack,130,72,1
,6,lsi94Indo-Aryan-Outer Siraji,kfx,{},31.58,77.06,Eurasia,,Outer Siraji,26,288,1
,6,lsi94Indo-Aryan-Padari,bhd,{},32.98,75.72,Eurasia,,Padari,32,144,1
